date;hour;value
16/03/2022;12;877
16/03/2022;13;794
16/03/2022;14;691
16/03/2022;15;759
16/03/2022;16;775
16/03/2022;17;1.094
16/03/2022;18;967
16/03/2022;19;914
16/03/2022;20;621
16/03/2022;21;518
16/03/2022;22;261
16/03/2022;23;198
16/03/2022;24;167
17/03/2022;9;327
17/03/2022;10;1.068
17/03/2022;11;1.100
17/03/2022;12;989
17/03/2022;13;930
17/03/2022;14;676
17/03/2022;15;797
17/03/2022;16;804
17/03/2022;17;940
17/03/2022;18;930
17/03/2022;19;918
17/03/2022;20;552
17/03/2022;21;364
17/03/2022;22;173
17/03/2022;23;83
17/03/2022;24;81
18/03/2022;9;287
18/03/2022;10;769
18/03/2022;11;850
18/03/2022;12;947
18/03/2022;13;1.069
18/03/2022;14;741
18/03/2022;15;737
18/03/2022;16;888
18/03/2022;17;805
18/03/2022;18;877
18/03/2022;19;854
18/03/2022;20;669
18/03/2022;21;357
18/03/2022;22;198
18/03/2022;23;158
18/03/2022;24;92
19/03/2022;9;271
19/03/2022;10;624
19/03/2022;11;650
19/03/2022;12;621
19/03/2022;13;615
19/03/2022;14;448
19/03/2022;15;442
19/03/2022;16;447
19/03/2022;17;385
19/03/2022;18;411
19/03/2022;19;402
19/03/2022;20;315
19/03/2022;21;266
19/03/2022;22;93
19/03/2022;23;114
19/03/2022;24;72
20/03/2022;9;115
20/03/2022;10;176
20/03/2022;11;297
20/03/2022;12;303
20/03/2022;13;232
20/03/2022;14;166
20/03/2022;15;207
20/03/2022;16;253
20/03/2022;17;237
20/03/2022;18;219
20/03/2022;19;265
20/03/2022;20;217
20/03/2022;21;121
20/03/2022;22;90
